earnings,education,experience,female,industry,state_eitc,state
11317,12,2,0,8,7,21
11918,13,14,1,7,14,35
22782,14,27,1,6,12,12
14918,15,15,1,4,24,16
12626,14,27,1,6,25,29
4699,9,18,1,6,9,10
10016,13,3,1,1,20,27
9932,16,0,0,6,6,37
8494,12,14,0,7,15,26
15589,16,17,0,5,6,37
9668,14,22,0,5,7,38
11589,18,25,1,7,2,39
21866,14,22,0,1,10,25
27833,12,19,0,2,17,28
5167,14,18,1,8,6,37
27838,14,26,0,4,15,30
7915,11,7,0,7,9,10
12020,8,25,1,1,19,7
19980,15,39,1,8,7,38
11884,19,16,1,4,27,23
9037,9,31,0,3,8,2
9654,13,26,0,1,2,39
14225,13,23,0,5,6,37
39798,19,25,1,2,9,13
11468,14,21,0,1,8,3
24571,10,24,1,1,25,29
14724,16,15,1,6,1,15
8589,13,24,0,5,19,18
29867,15,14,0,6,20,22
28016,16,32,1,7,2,39
20243,15,27,1,1,10,25
12040,13,17,0,7,4,36
8922,17,10,1,7,20,27
13823,14,31,0,1,23,14
8823,9,34,0,3,15,26
11406,10,18,0,3,23,8
15982,13,26,1,4,9,13
2553,9,18,1,2,19,18
4527,16,17,1,6,20,27
30143,14,36,0,5,7,21
12200,16,15,0,5,12,12
6711,10,18,0,1,7,40
7646,12,23,1,5,9,13
6512,11,10,1,6,8,2
15359,11,10,0,3,5,17
7056,14,29,1,3,14,35
16101,13,0,1,8,7,21
13941,11,16,0,5,4,36
12990,14,13,1,4,12,12
23830,15,28,1,3,10,25
43546,10,56,1,5,10,25
20253,12,18,1,2,19,7
17816,17,10,0,3,9,10
4642,12,13,1,6,7,38
10251,14,45,1,7,9,13
14948,14,27,0,1,4,36
3267,9,14,0,5,15,30
14249,9,37,0,4,5,17
6673,11,23,1,7,23,14
15074,14,10,1,5,19,7
12147,11,29,1,1,16,5
19375,13,25,0,3,15,30
11759,12,14,1,2,19,7
67067,16,34,0,2,17,28
9850,14,29,0,3,7,40
32158,16,20,1,8,12,12
8607,11,9,0,3,19,6
10686,10,29,0,1,7,40
9446,8,43,1,3,16,5
19464,10,28,1,3,1,15
8978,9,16,0,7,6,37
13338,13,18,1,4,6,37
14671,11,40,1,8,7,21
15486,11,6,0,5,24,16
12147,16,20,1,2,20,19
17863,13,31,0,6,7,40
11218,10,18,0,8,20,27
7515,12,20,0,5,24,16
13104,13,22,0,6,15,30
6981,12,0,1,7,2,39
15504,16,16,0,2,9,33
7569,13,6,0,1,14,35
16145,16,39,1,6,27,23
10030,13,3,1,5,28,1
10352,9,18,1,2,23,14
40320,16,55,1,5,28,1
12462,15,21,0,8,9,33
16047,13,18,1,2,8,3
10490,16,1,0,6,12,12
9682,15,18,1,8,7,40
7459,8,0,0,7,29,9
11605,15,12,1,2,7,40
4701,13,27,1,8,15,30
12487,11,32,0,2,25,29
17677,13,12,1,3,12,12
7446,13,11,1,6,6,37
21857,14,17,1,6,13,20
4114,10,9,0,2,9,34
3715,12,10,0,3,27,4
10099,16,11,1,7,23,8
7934,12,21,1,8,15,30
18736,16,15,0,6,4,32
6076,10,17,1,1,27,4
19731,18,20,0,6,7,38
20636,13,33,1,7,29,9
4683,10,18,0,1,20,27
13581,14,18,1,1,5,17
8538,9,21,1,3,17,28
13322,11,15,0,8,24,16
10331,11,14,1,8,23,14
23159,15,20,1,5,26,31
12611,12,11,1,8,24,16
9389,14,11,0,4,16,5
11133,15,26,0,4,20,27
15025,14,36,0,8,2,39
18002,12,18,0,3,15,26
9458,14,27,0,3,8,2
7020,13,16,1,6,10,25
22558,15,23,0,6,27,23
13015,14,26,0,2,25,29
17013,19,14,1,4,10,25
13433,14,29,0,3,28,1
14887,16,14,1,5,8,3
14544,15,15,0,6,13,20
8970,16,25,1,5,25,29
24699,15,23,0,5,19,7
12193,11,22,1,3,7,40
24971,13,12,1,2,9,33
10205,10,16,1,3,19,7
12183,18,14,1,3,9,13
20467,12,17,0,3,8,3
15876,12,27,1,8,3,24
10202,13,20,0,5,6,37
31528,13,24,0,1,29,9
6773,15,27,1,5,23,8
11395,13,20,0,3,14,35
30966,16,39,0,8,28,1
9070,16,19,1,6,26,11
7644,13,15,0,8,13,20
10341,10,26,1,8,20,19
22514,14,11,0,8,28,1
6804,13,15,0,3,6,37
20911,16,39,1,7,27,4
21582,11,27,1,5,13,20
14701,11,26,1,6,16,5
11530,14,20,1,8,23,14
8905,13,18,1,4,4,32
16815,15,16,0,8,6,37
19354,13,19,1,2,19,6
25888,16,15,0,3,14,35
7067,12,5,1,5,9,34
12563,10,13,0,6,27,4
8158,14,16,0,6,4,36
17931,13,35,1,7,13,20
5526,13,0,1,7,19,7
15957,12,28,1,4,3,24
6425,13,15,0,6,20,27
7380,11,18,0,8,25,29
29220,17,25,0,2,9,33
2804,15,8,1,6,9,34
27718,14,29,0,8,9,34
4116,10,10,0,1,20,19
16413,16,15,1,1,27,4
17396,13,11,0,5,19,6
4971,16,13,0,8,25,29
24073,14,24,0,7,12,12
12218,12,31,1,3,6,37
8558,11,24,0,8,12,12
7349,15,8,1,7,7,40
19488,10,33,1,4,4,36
50113,18,26,0,8,5,17
7408,11,17,0,6,16,5
13445,14,15,0,4,15,26
6453,8,21,1,1,3,24
8890,11,28,1,5,15,30
11283,12,0,1,8,27,4
3963,13,5,0,8,20,19
11763,13,28,0,2,2,39
10832,14,22,1,1,27,23
9991,14,25,0,3,19,6
8949,14,24,1,3,19,7
7132,9,18,1,1,26,31
10705,8,22,1,1,7,21
6326,8,27,1,5,2,39
7680,12,25,0,7,27,23
6771,15,11,1,7,19,6
15894,15,19,1,7,27,23
11399,16,23,1,6,16,5
7576,8,15,0,2,17,28
15735,13,29,1,8,25,29
7528,12,18,1,2,17,28
13718,14,15,0,3,28,1
8188,8,12,0,5,19,18
14658,12,21,1,4,1,15
11437,12,32,1,8,19,18
18442,12,14,1,3,9,33
15481,12,23,1,1,20,19
16585,13,32,1,3,1,15
11570,10,34,1,1,15,30
10107,14,28,1,8,20,22
6241,10,28,1,3,15,26
12698,10,34,1,8,2,39
5675,10,0,0,7,26,11
18068,9,3,1,3,9,33
13192,20,16,1,2,23,8
5011,16,13,1,6,4,32
22892,12,25,0,4,17,28
17181,17,28,1,6,19,7
25656,14,27,0,8,19,7
11075,11,29,0,4,26,31
5597,13,16,1,5,7,40
12788,12,20,0,5,14,35
12638,8,15,1,8,15,26
23127,12,26,1,1,26,31
9978,16,22,0,1,2,39
7710,16,16,1,1,20,27
16082,14,21,0,6,20,22
24463,13,38,0,6,7,38
24281,17,22,0,6,20,19
4115,13,14,0,7,4,36
24822,15,14,1,8,26,31
19817,11,24,0,4,3,24
6093,13,0,0,3,2,39
11728,17,29,1,6,4,36
5771,9,29,0,6,15,30
11241,13,10,0,3,29,9
4151,16,14,1,7,9,34
12436,17,21,1,5,9,34
7413,13,13,1,4,20,22
12425,12,33,1,6,6,37
6677,16,11,1,5,16,5
8037,13,32,1,7,20,27
14151,10,25,1,8,9,33
6156,11,36,0,8,19,7
8014,14,0,1,7,3,24
19829,15,17,1,7,15,30
9326,11,23,0,8,8,3
16725,15,17,1,7,28,1
14196,16,11,0,8,1,15
4006,8,0,0,7,1,15
15885,13,21,0,1,19,6
19910,13,22,1,8,19,18
13057,15,23,1,8,23,14
10808,11,20,1,4,23,8
9111,11,11,1,6,20,19
6357,13,31,1,2,10,25
7081,12,22,1,3,19,18
20346,16,11,0,5,8,3
16261,10,17,0,3,14,35
9015,9,13,0,4,7,21
37261,13,28,0,2,17,28
3189,11,14,1,6,29,9
10211,15,25,1,3,15,30
23266,11,7,0,5,19,7
24480,16,38,1,1,13,20
10128,11,6,1,2,8,2
5196,10,21,1,4,8,2
34880,15,33,0,3,1,15
7653,9,15,1,4,20,27
11661,13,24,0,5,23,8
9219,13,37,0,7,1,15
5902,12,13,1,5,2,39
13438,14,13,0,8,4,32
30692,14,27,0,8,15,30
6907,10,11,0,1,25,29
10609,10,14,1,4,7,38
13072,12,31,1,4,9,34
13359,11,26,0,1,1,15
3207,8,22,0,4,9,34
17031,12,19,0,3,15,30
5043,8,4,0,4,9,34
5661,11,15,1,7,27,4
5535,11,12,1,2,20,27
14588,12,23,1,3,9,13
4552,11,14,1,6,15,30
12562,10,10,1,1,20,22
10309,11,27,1,5,19,18
26565,16,18,0,7,16,5
5564,9,6,1,6,9,10
24821,11,41,1,1,5,17
12461,12,28,1,2,26,31
19209,14,36,0,3,26,11
25194,17,13,1,5,12,12
16404,12,24,1,5,29,9
10605,16,29,1,2,23,14
9253,11,21,0,4,25,29
8174,14,20,1,4,7,38
15741,15,27,1,3,1,15
20266,13,9,0,8,26,31
28533,15,23,0,3,19,6
6534,10,21,0,4,4,32
20592,11,22,1,1,26,31
6570,15,10,1,2,19,18
10822,15,18,0,2,23,14
17374,15,20,1,4,17,28
13191,12,11,0,1,26,31
13776,8,15,0,2,9,33
13101,8,23,0,8,15,26
16167,12,25,0,2,24,16
17434,16,12,0,7,8,3
24190,11,27,0,8,13,20
23678,12,27,0,5,13,20
11518,14,10,0,7,23,8
8701,13,17,1,3,23,8
29582,15,27,1,1,12,12
21463,20,21,1,2,27,4
11372,13,22,0,3,9,34
14303,15,25,1,5,7,21
9079,9,10,1,7,5,17
48043,17,33,0,8,26,31
16042,13,14,1,2,28,1
8261,16,31,0,6,27,23
14628,14,39,0,1,23,14
5633,15,4,1,4,14,35
22651,11,26,0,6,17,28
12182,13,17,0,1,16,5
12888,13,31,0,6,7,40
