consumption,educ_head,hhsize,female_head,ethnicity,has_clinic,village
356,1,7,0,5,1,17
308,0,5,0,5,0,10
493,10,3,0,4,1,35
364,7,6,0,3,0,46
290,6,5,0,5,1,44
277,7,3,0,2,1,35
274,7,3,1,3,1,3
404,4,4,0,3,0,12
417,6,9,0,3,1,18
772,8,3,0,3,0,30
400,6,3,0,1,0,5
523,10,2,0,1,1,35
727,4,7,0,1,1,20
479,5,5,0,1,1,27
502,9,5,0,4,1,35
223,0,7,0,3,0,42
263,3,5,0,3,1,48
554,6,4,0,3,0,41
463,8,5,0,3,0,7
676,7,5,0,1,0,32
415,6,3,1,1,0,1
226,6,4,0,3,1,44
411,7,1,1,4,1,37
220,4,5,0,2,0,2
590,1,4,0,3,0,5
152,4,8,0,2,0,28
216,5,7,0,1,0,38
415,10,4,0,2,0,7
275,4,3,1,2,1,24
354,3,3,0,5,0,10
380,11,4,0,1,1,18
621,8,6,0,3,0,38
189,0,5,1,5,0,9
475,9,6,1,4,1,20
231,3,3,0,3,1,37
574,10,6,1,4,1,18
649,0,6,1,3,0,47
272,11,3,0,3,1,14
356,6,2,0,5,1,15
214,4,5,0,1,1,44
316,6,4,0,4,0,38
493,5,4,0,1,0,6
430,6,3,0,3,0,19
515,9,5,0,2,1,14
343,11,4,0,2,0,28
645,7,4,0,5,1,24
276,3,5,0,3,1,24
368,5,5,0,5,1,15
370,6,2,1,3,0,10
443,8,8,0,4,0,10
267,1,4,0,4,1,18
388,2,5,0,3,0,6
446,1,8,0,4,0,2
570,8,7,0,5,0,45
275,2,7,0,4,0,46
976,10,3,0,1,1,50
262,1,6,0,2,1,17
195,3,4,0,5,0,36
500,11,2,0,1,0,33
209,4,7,0,1,0,36
282,6,6,0,5,0,33
293,7,1,0,1,0,36
742,5,8,0,1,1,50
614,6,3,0,5,0,47
815,9,3,1,2,0,41
761,6,4,1,5,1,17
314,0,6,1,4,0,47
386,7,3,0,4,1,50
228,4,5,0,1,0,4
307,5,4,0,3,0,25
323,8,4,0,5,0,5
371,7,8,0,5,0,29
313,8,7,0,4,0,1
415,3,4,0,3,0,5
260,11,6,0,4,1,3
282,3,8,0,4,1,31
366,8,4,1,3,1,27
300,7,7,0,4,0,45
178,6,11,0,3,0,42
523,4,4,0,5,0,1
373,6,4,1,5,1,27
441,4,4,0,4,1,50
739,8,5,0,2,0,16
926,7,5,0,4,0,21
322,9,4,0,5,0,16
610,7,4,1,3,1,18
363,6,8,0,1,0,22
490,9,9,1,2,0,29
1054,12,4,0,3,0,26
196,7,7,0,1,1,24
769,4,2,0,5,0,34
639,6,3,1,4,0,29
821,10,5,0,5,0,33
282,12,5,0,4,1,20
534,2,5,0,4,0,21
227,4,4,0,1,0,7
316,6,8,0,3,0,36
215,7,4,0,3,0,28
160,5,5,0,3,0,19
836,7,10,0,3,0,26
304,4,3,0,3,1,24
1253,4,4,0,1,1,39
646,8,11,0,2,0,22
428,4,6,0,3,0,42
377,11,3,0,4,1,35
927,6,5,0,1,1,40
161,4,3,1,3,0,43
483,5,5,0,5,1,40
292,4,5,1,4,0,2
280,3,6,0,2,0,33
545,8,3,1,2,0,1
232,5,2,1,2,1,24
584,7,4,0,1,0,33
949,8,6,1,5,0,5
389,7,6,0,3,0,10
454,14,4,0,3,1,15
145,5,4,0,3,0,19
789,2,2,0,5,1,3
340,6,4,0,1,0,33
456,2,6,0,1,0,26
163,11,3,0,2,1,44
1009,3,5,0,5,1,39
338,1,6,0,2,0,5
706,2,3,0,4,0,45
1008,10,6,0,4,0,38
358,11,1,0,3,1,17
233,2,5,0,4,0,10
161,5,6,0,3,0,28
772,9,6,0,1,0,5
401,8,6,0,2,1,48
333,5,5,0,2,1,24
746,5,4,1,2,0,41
480,5,3,0,4,0,34
1044,3,4,0,1,0,49
557,6,9,0,2,0,2
191,9,5,0,3,0,25
173,6,5,0,4,0,19
362,10,7,0,2,1,17
345,6,2,0,4,0,2
314,6,9,0,1,0,9
313,9,6,0,3,0,42
405,8,7,0,1,0,23
1122,8,6,0,3,0,23
492,2,13,0,1,0,2
529,9,1,0,3,0,12
257,8,4,1,4,0,9
276,1,5,0,1,0,12
283,8,6,0,3,0,42
336,8,6,0,3,0,26
464,1,4,1,5,0,34
643,7,3,0,4,1,40
480,6,1,0,1,1,27
273,1,3,1,4,1,44
786,2,4,0,4,0,21
216,5,3,0,3,1,17
413,6,2,1,3,0,33
287,8,5,1,3,0,6
444,2,6,0,4,1,39
285,5,5,0,4,1,50
1570,9,6,0,1,0,22
407,6,6,0,2,0,5
517,9,6,1,3,0,10
528,6,6,1,3,0,46
271,7,5,0,3,0,16
298,9,2,0,2,0,9
338,4,5,0,1,0,10
181,5,6,0,5,1,24
395,5,5,0,1,1,39
457,9,2,1,3,1,48
308,14,4,0,3,0,10
211,6,9,0,4,1,37
274,0,4,0,2,0,33
352,6,7,0,3,0,6
484,10,6,0,5,1,31
522,4,6,0,4,0,32
280,6,1,0,4,1,14
392,10,6,0,2,1,3
638,4,4,0,3,0,45
662,10,4,1,3,1,48
730,6,1,0,5,0,30
368,2,6,0,3,0,12
481,6,5,0,1,1,27
487,5,3,0,3,0,23
707,5,3,0,3,0,26
895,3,4,1,2,0,45
662,3,3,1,5,1,39
471,8,7,0,5,0,29
857,8,1,0,3,1,3
598,8,2,1,3,1,24
915,10,3,0,2,1,13
239,0,6,0,1,0,12
350,9,5,0,5,0,46
375,8,1,0,3,1,35
343,11,6,0,1,0,47
677,3,2,0,2,1,39
239,10,3,0,3,0,47
358,9,3,1,1,0,36
354,0,5,1,4,0,34
394,1,5,0,4,1,39
730,8,2,0,1,1,44
371,8,5,0,2,1,17
951,7,1,0,3,1,18
413,5,4,0,3,1,39
676,5,5,0,3,1,20
219,4,8,0,1,0,10
240,4,3,0,2,0,4
179,9,8,0,1,1,14
167,6,6,0,5,0,19
624,6,2,0,1,0,26
895,4,4,0,4,0,33
256,7,4,0,4,1,50
448,11,7,1,3,1,20
435,7,3,0,2,0,32
500,14,1,0,5,0,19
584,7,5,0,4,0,23
298,1,8,0,1,0,32
549,4,5,0,2,0,11
907,6,2,0,3,1,3
346,11,5,0,5,0,6
637,5,5,0,1,0,21
217,7,5,0,4,0,19
316,3,5,1,2,0,32
232,1,3,0,3,0,4
531,8,2,0,1,0,28
491,5,7,1,5,1,35
772,7,2,0,2,0,41
314,6,1,0,4,0,33
177,8,5,0,4,0,25
377,12,1,0,3,1,44
238,4,2,0,2,0,28
428,10,11,1,2,0,21
376,6,6,0,4,0,29
153,4,5,0,3,0,28
521,9,3,1,2,0,36
750,4,5,1,5,1,20
437,11,6,0,3,0,32
411,14,5,0,3,1,31
292,5,9,0,5,1,24
