wage,tenure,training,occupation,union,exporter,firm
19.25,12,22,1,1,0,36
19.34,6,13,1,0,0,15
19.11,10,26,2,0,0,18
9.78,9,19,1,0,0,60
17.72,5,51,4,0,1,8
10.81,9,44,6,0,0,58
10.82,3,48,3,0,1,43
11.25,7,9,2,0,0,57
15.18,6,15,1,0,0,15
17.67,13,15,1,1,0,22
7.83,3,18,3,0,0,50
39.4,13,13,3,0,0,31
14.97,13,25,6,0,0,54
13.27,2,18,2,1,0,22
13.7,14,28,4,1,0,26
15.31,9,17,1,0,0,23
10.06,2,5,3,0,0,32
16.5,8,0,6,1,1,1
21.66,13,18,6,1,1,19
7.58,6,21,6,0,1,46
19.01,8,33,2,0,0,49
16.17,12,19,4,0,0,36
21.55,9,10,5,0,1,4
13.88,13,20,2,1,0,41
36.14,15,32,3,0,1,59
40.49,14,5,4,0,0,47
26.36,0,20,3,0,1,13
16.67,9,2,3,0,1,1
15.04,0,18,5,0,0,27
19.28,12,41,3,0,1,46
14.48,10,34,5,0,0,32
17.56,2,50,6,0,1,8
9.06,9,26,3,1,1,1
13.82,9,26,5,0,1,52
12.18,8,0,5,1,0,29
17.28,4,7,6,0,0,18
22.56,8,13,4,1,0,28
16.91,9,7,4,0,0,60
16.26,15,2,2,0,1,13
11.57,11,19,1,0,0,29
19.72,8,32,3,0,0,5
11.63,8,9,1,0,0,22
17.68,12,6,2,1,0,21
9.17,19,12,2,0,1,1
25.83,19,31,1,1,1,45
14.44,2,41,6,0,1,1
22.92,5,13,6,1,0,56
41.69,12,36,6,0,1,4
44.48,3,34,3,1,0,47
20.03,9,26,5,1,0,25
12.64,5,52,4,1,0,36
11.64,2,44,4,0,0,9
11.06,14,0,6,0,0,3
24.02,10,34,5,0,0,12
24.58,14,27,1,0,0,21
10.01,5,7,4,0,1,43
17.96,13,27,1,0,0,30
23.67,17,38,3,0,0,3
17.99,8,12,4,1,1,39
10.7,6,48,3,0,1,6
12,7,10,4,0,0,28
