score,prior_score,female,region,small_class,classroom
43,39,0,4,0,39
85,63,1,3,1,47
61,46,0,2,0,65
71,59,0,2,1,24
66,54,0,4,1,22
67,45,0,1,1,40
39,40,0,2,1,79
77,51,1,3,1,44
53,43,0,3,0,13
45,38,0,3,0,80
64,57,0,3,0,60
58,47,1,2,1,30
55,65,0,2,1,22
60,71,0,2,1,15
84,66,1,2,1,18
70,54,0,3,1,70
65,42,1,3,1,55
53,46,0,1,0,4
66,50,1,4,1,24
71,59,1,3,1,68
50,50,0,4,0,31
69,65,1,4,1,68
59,63,1,4,0,36
37,28,0,4,1,53
45,50,0,3,1,48
51,39,1,2,1,22
63,70,0,1,1,79
56,50,0,3,0,23
70,52,1,4,0,78
56,42,1,2,0,58
67,58,1,3,1,63
67,62,1,4,1,55
45,45,1,1,0,36
78,69,1,2,1,2
63,58,1,2,1,3
43,42,1,2,1,53
55,53,0,3,1,77
74,71,1,2,0,60
58,58,0,1,1,20
60,58,1,4,1,68
66,50,1,1,1,51
79,55,0,1,1,61
47,43,0,1,1,32
67,43,1,3,1,15
36,25,0,3,0,12
69,59,0,1,1,9
40,60,0,2,0,4
48,40,1,4,1,3
88,64,1,1,1,44
56,66,1,3,1,79
52,56,0,2,0,31
68,63,1,3,0,16
63,53,1,1,1,21
78,59,1,2,0,13
60,47,0,4,1,5
78,69,0,3,0,66
58,51,0,4,1,5
52,54,1,2,0,45
64,45,0,4,0,7
43,38,0,1,1,27
42,37,0,3,1,79
66,26,0,2,1,67
73,54,0,2,0,16
42,29,0,3,1,48
53,51,1,4,0,6
67,53,1,3,1,61
53,46,0,1,1,73
48,47,0,4,1,25
41,37,1,2,1,15
50,40,1,1,0,8
63,71,1,4,0,56
51,54,1,1,0,56
62,38,0,1,1,33
63,58,0,1,1,48
64,51,0,3,0,13
59,54,0,2,0,39
56,24,0,2,1,77
65,52,1,2,1,24
47,44,0,2,0,66
32,50,1,2,0,52
51,40,1,3,0,23
60,56,1,3,0,12
40,36,1,2,1,33
70,66,0,4,0,78
66,60,1,3,1,55
56,37,1,1,1,71
38,39,0,4,1,51
59,50,0,4,0,58
54,58,0,3,1,79
49,53,0,1,0,12
81,73,0,2,0,65
58,60,1,2,0,26
64,53,0,4,0,7
57,55,1,1,1,21
62,53,1,1,0,58
58,55,1,4,0,7
50,38,0,2,1,18
65,35,1,1,1,24
59,37,0,4,1,55
28,35,1,1,0,64
57,43,0,3,0,36
70,57,1,4,1,71
43,35,0,3,0,52
65,61,1,2,0,76
50,61,0,4,0,72
64,42,1,1,1,47
62,41,1,1,0,4
64,59,1,3,1,47
78,65,0,2,1,10
46,65,1,3,0,43
64,50,1,2,0,14
65,37,1,2,1,33
49,38,0,1,0,56
75,64,0,4,1,59
71,61,1,1,0,31
54,58,1,4,0,1
66,51,0,4,1,33
50,37,0,1,0,60
41,34,0,2,1,33
46,59,1,1,0,11
51,56,1,1,1,32
34,28,0,1,0,66
54,62,0,2,1,17
70,59,1,4,1,24
64,49,0,3,1,77
61,51,0,2,0,45
60,46,0,4,1,10
52,37,1,3,1,77
59,46,0,4,1,73
71,42,0,2,0,80
50,38,1,1,1,70
50,49,0,4,0,45
52,48,0,3,1,15
76,67,1,4,0,38
68,68,1,2,0,78
60,52,0,3,1,53
43,34,1,3,1,25
52,37,1,1,0,60
60,57,1,1,0,39
72,57,0,1,0,80
59,52,0,2,1,3
56,45,0,3,0,31
70,57,0,4,0,38
51,35,0,3,0,42
78,62,1,2,0,16
50,51,1,4,0,66
65,76,1,4,0,1
38,45,0,1,1,53
51,56,0,2,1,61
54,53,1,2,0,49
58,51,0,1,0,36
45,36,0,2,0,42
75,65,1,3,0,7
51,63,0,2,0,11
38,47,1,2,0,39
60,43,0,3,1,3
40,39,0,2,0,4
56,46,0,3,1,73
80,37,0,4,1,37
70,63,1,3,0,72
69,75,0,4,0,38
83,58,0,2,1,68
58,57,0,3,1,5
47,31,1,1,0,66
66,52,0,3,1,48
59,86,0,3,0,6
59,43,1,4,0,41
44,40,0,3,1,77
51,48,1,1,0,23
53,59,0,3,1,79
35,44,1,1,0,46
