investment,rd_intensity,leverage,interest_rate,sector,firm,year
17,2.2,0.41,2.4,5,1,2000
20,9.7,0.56,7.6,5,1,2001
26,9.3,0.41,5,5,1,2002
19,3.2,0.62,4,5,1,2003
11,5.4,0.57,2.2,5,1,2004
15,4.6,0.14,7.9,5,1,2005
16,0.8,0.61,2.1,5,1,2006
15,2.4,0.6,3.4,5,1,2007
16,0,0.67,2.9,5,1,2008
28,12.3,0.08,4.1,5,1,2009
19,5.6,0.47,3.2,5,1,2010
19,6.6,0.71,5.6,5,1,2011
34,7.5,0.78,6.9,5,1,2012
20,4.8,0.22,3.4,5,1,2013
17,5.3,0.32,4,5,1,2014
18,7.9,0.73,4.1,5,1,2015
36,13.3,0.1,6.5,5,1,2016
23,6.8,0.44,5.6,5,1,2017
14,0.7,0.27,5.5,5,1,2018
22,4.3,0.49,8,5,1,2019
11,5,0.66,7,5,1,2020
14,4.5,0.13,7.6,5,1,2021
18,2.7,0.4,2.8,5,1,2022
10,2.8,0.64,7.3,5,1,2023
13,9.8,0.16,3.7,5,1,2024
25,0.4,0.08,2.4,3,2,2000
20,12.3,0.55,7.6,3,2,2001
9,0.4,0.7,5,3,2,2002
27,5.7,0.26,4,3,2,2003
20,4.5,0.32,2.2,3,2,2004
28,3.4,0.55,7.9,3,2,2005
26,9.2,0.42,2.1,3,2,2006
17,6.3,0.5,3.4,3,2,2007
31,10.5,0.29,2.9,3,2,2008
21,4.3,0.33,4.1,3,2,2009
14,3.7,0.61,3.2,3,2,2010
9,2.9,0.74,5.6,3,2,2011
10,1.5,0.65,6.9,3,2,2012
19,3.4,0.7,3.4,3,2,2013
20,3.5,0.57,4,3,2,2014
14,0,0.34,4.1,3,2,2015
38,8.2,0.28,6.5,3,2,2016
15,6.4,0.42,5.6,3,2,2017
26,8.9,0.14,5.5,3,2,2018
42,5.8,0.17,8,3,2,2019
11,5.2,0.49,7,3,2,2020
14,4.3,0.28,7.6,3,2,2021
17,1.4,0.07,2.8,3,2,2022
32,5.2,0.57,7.3,3,2,2023
13,2,0.77,3.7,3,2,2024
24,5.7,0.51,2.4,2,3,2000
10,6.4,0.78,7.6,2,3,2001
11,5,0.23,5,2,3,2002
31,4.5,0.57,4,2,3,2003
19,7.3,0.65,2.2,2,3,2004
13,2.9,0.27,7.9,2,3,2005
18,4.1,0.55,2.1,2,3,2006
7,0.5,0.36,3.4,2,3,2007
36,7.5,0.43,2.9,2,3,2008
20,4.6,0.12,4.1,2,3,2009
16,3.2,0.06,3.2,2,3,2010
15,5.7,0.31,5.6,2,3,2011
38,5.3,0.46,6.9,2,3,2012
27,7.1,0.35,3.4,2,3,2013
24,4.5,0.78,4,2,3,2014
28,8.1,0.73,4.1,2,3,2015
16,1.6,0.02,6.5,2,3,2016
20,2,0.79,5.6,2,3,2017
13,3.8,0.5,5.5,2,3,2018
29,9.1,0.45,8,2,3,2019
12,0.3,0.2,7,2,3,2020
7,1.5,0.4,7.6,2,3,2021
26,3.6,0.56,2.8,2,3,2022
11,0.7,0.44,7.3,2,3,2023
12,6.1,0.8,3.7,2,3,2024
12,0.2,0.27,2.4,3,4,2000
52,4,0.18,7.6,3,4,2001
16,2.9,0.13,5,3,4,2002
28,8,0.74,4,3,4,2003
14,2.3,0.78,2.2,3,4,2004
11,2.3,0.18,7.9,3,4,2005
28,5.6,0.21,2.1,3,4,2006
24,2.4,0.26,3.4,3,4,2007
24,2.4,0.71,2.9,3,4,2008
24,9.2,0.04,4.1,3,4,2009
19,8.3,0.58,3.2,3,4,2010
13,1.3,0.7,5.6,3,4,2011
18,2.3,0.34,6.9,3,4,2012
30,2.8,0.47,3.4,3,4,2013
16,2.4,0.56,4,3,4,2014
