gender,ethnicity,urban,unemp,wage,distance,education,income
male,other,yes,6.099999904632568,10.288354888447538,0.20000000298023224,12,high
male,hispanic,yes,5.900000095367432,9.952251267437921,0.10000000149011612,12,low
female,other,no,4.5,9.77222557023673,1.7000000476837158,12,high
male,other,yes,4.699999809265137,10.501013249046188,1,12,low
female,hispanic,yes,8,9.673921998672364,0.30000001192092896,12,low
female,hispanic,no,11.600000381469727,11.564561037119029,0.5,13,high
female,other,no,12.600000381469727,10.126514746803014,6.5,16,high
male,other,no,7.800000190734863,10.242454027199628,1.5,12,low
male,other,no,9.399999618530273,9.121042383032462,5,12,low
female,hispanic,no,22.299999237060547,8.942167909581313,12,14,low
male,hispanic,no,5.900000095367432,8.276642927277095,9,12,low
female,other,no,10,10.234248076926828,2.5,12,low
male,afam,no,8.899999618530273,7.509115484262889,2.5,12,low
female,afam,no,6.800000190734863,10.257354275509512,0.800000011920929,13,low
male,other,no,5.300000190734863,8.957528596262069,2.5,13,low
male,other,no,6.800000190734863,8.84763034807781,2,15,low
male,other,yes,4.599999904632568,7.325534345410248,0.5,17,high
male,other,no,10.199999809265137,8.210951354365402,4.5,12,low
male,other,no,10.800000190734863,8.263181059194029,4,17,low
female,hispanic,yes,9.5,9.681487336881354,0.699999988079071,12,low
female,afam,yes,13.800000190734863,12.114856788116732,0.5,12,low
female,other,yes,8,9.662556906574688,1,14,low
male,other,no,12.399999618530273,11.590609362999288,9,12,low
female,other,no,8.699999809265137,10.28659167175945,1.399999976158142,15,high
male,other,no,8.699999809265137,8.812928924822693,1.5,16,low
male,other,no,8.899999618530273,9.922802388529982,4,12,low
female,afam,no,6,7.444273042068767,7,12,low
male,other,no,7.099999904632568,10.038990347666196,1.5,12,low
female,other,yes,8,10.237547719874964,1.7999999523162842,16,high
female,afam,yes,7.199999809265137,11.728540778935294,0.10000000149011612,16,low
male,other,no,8.899999618530273,10.022489237021698,3.799999952316284,15,low
male,hispanic,no,6.699999809265137,8.984726424711727,5,15,low
male,hispanic,yes,8,9.708849519813949,0.20000000298023224,12,low
male,hispanic,yes,6.099999904632568,9.750735994144673,0.5,12,low
male,afam,yes,8,10.224912519344239,0.800000011920929,12,low
female,other,no,5.300000190734863,10.074019476398009,2.5,12,low
female,other,no,7.599999904632568,11.546907424118452,8,12,low
female,hispanic,no,11.199999809265137,8.260071636431647,0,13,low
female,hispanic,no,8.199999809265137,7.518649019048964,0.20000000298023224,14,low
male,hispanic,yes,5.900000095367432,9.889467843795549,0.30000001192092896,13,low
male,other,no,9,9.94744962258097,1.2000000476837158,12,low
female,afam,yes,6.699999809265137,7.458810484231729,1,13,low
male,other,no,4.099999904632568,11.064553267480806,4,12,high
male,other,no,9.800000190734863,9.688022869672167,4.5,12,low
male,other,no,7.699999809265137,10.831070797733227,0.5,16,high
female,hispanic,no,8,10.340756090186705,0.30000001192092896,12,low
male,other,yes,4.300000190734863,10.490546461539,4,16,low
male,hispanic,no,4.900000095367432,9.94936997586706,0.10000000149011612,17,low
male,other,no,7.199999809265137,11.654510694086495,1.5,13,high
female,other,no,6.400000095367432,9.814294986062423,0.30000001192092896,17,high
male,other,no,6.800000190734863,8.939591225158786,4,14,low
male,other,yes,8.199999809265137,7.617225551535938,0.6000000238418579,13,high
female,hispanic,no,8.300000190734863,10.503018484300485,4,12,low
female,other,no,11.100000381469727,12.140992023166095,1.5,16,high
female,afam,no,8.300000190734863,7.498640595396197,3.799999952316284,12,low
male,other,no,5.400000095367432,8.816951375639489,0.800000011920929,16,high
female,afam,no,6.900000095367432,8.172081030378672,3.299999952316284,15,low
male,hispanic,yes,4.599999904632568,7.296828027408767,0.5,14,low
female,afam,yes,6.599999904632568,8.806346766486254,0.5,12,low
female,other,no,6.199999809265137,10.070903650121355,0.10000000149011612,15,high
female,other,no,6.599999904632568,8.848455017468995,0.6000000238418579,12,high
female,afam,no,13.399999618530273,9.751005313007452,1.5,12,low
female,afam,yes,7.199999809265137,11.581090210501134,0.10000000149011612,12,low
male,afam,no,9.699999809265137,9.928272862899702,3.5999999046325684,12,low
female,other,no,7.300000190734863,10.230046201733966,1,12,low
male,other,no,7.199999809265137,11.679363771101238,0.30000001192092896,16,high
female,other,no,14,12.213670647102525,1,17,high
male,hispanic,no,8.899999618530273,8.361420086386545,0.20000000298023224,14,low
female,other,no,7.699999809265137,12.201601574171722,2,16,low
male,afam,no,5.099999904632568,7.393948333080273,0.800000011920929,12,low
male,other,no,11.100000381469727,12.217333197484534,1,16,low
female,hispanic,yes,9.100000381469727,9.837511590684597,1,15,low
female,hispanic,yes,8,9.605261287140184,0.10000000149011612,12,low
female,other,no,10.199999809265137,7.39860819509539,3.200000047683716,12,high
male,other,no,6.900000095367432,11.076409174378258,1.5,12,low
male,other,no,8,9.658355652245657,6,16,high
female,other,no,8,10.255556261055672,0.30000001192092896,12,low
