state,year,region,pcap,hwy,water,util,pc,gsp,emp,unemp
ARKANSAS,1970,7,7613.26,3647.73,644.99,3320.54,19749.63,15392,536.2,5
ARKANSAS,1971,7,7982.03,3686.95,651.63,3643.44,20636.47,16177,551,5.4
ARKANSAS,1972,7,8309.01,3780.05,668.5,3860.47,21245.48,17702,581.5,4.6
ARKANSAS,1973,7,8399.59,3894.77,691.76,3813.06,21654.02,18825,614.5,4.1
ARKANSAS,1974,7,8512.05,3985.99,726.62,3799.44,22635.84,19287,640.7,4.8
ARKANSAS,1975,7,8651.26,4051.66,742.5,3857.1,23519.27,19024,623.8,9.5
ARKANSAS,1976,7,8921.91,4185.4,761.38,3975.13,26158.59,20277,660,7.1
ARKANSAS,1977,7,9234.85,4316.52,793.54,4124.79,26716.93,21410,695.6,6.6
ARKANSAS,1978,7,9374.54,4405.68,821.01,4147.86,27428.45,23063,732.7,6.4
ARKANSAS,1979,7,9554.83,4483.21,859.23,4212.4,28394.22,23501,749.4,6.2
ARKANSAS,1980,7,9705.24,4531.36,890.41,4283.48,29476.51,23210,742.3,7.6
ARKANSAS,1981,7,9872.87,4608.72,916.68,4347.47,31235.95,24134,740.1,9.1
ARKANSAS,1982,7,9919.35,4681.5,905.92,4331.93,32008.74,23462,720.1,9.8
ARKANSAS,1983,7,9861.76,4662.68,934.14,4264.94,32385.62,24415,741.3,10
ARKANSAS,1984,7,9754.55,4654.37,934.6,4165.58,32625.51,26512,780.2,8.9
ARKANSAS,1985,7,9675.47,4639.3,947.04,4089.13,33229.46,27159,797.1,8.7
ARKANSAS,1986,7,9787.2,4652.71,960.66,4173.84,32889.3,28168,813.8,8.7
CALIFORNIA,1970,9,128545.36,42961.31,17837.26,67746.79,172791.92,263933,6946.2,7.2
CALIFORNIA,1971,9,132263.33,44768.37,18448.04,69046.92,180864.28,265600,6917,8.8
CALIFORNIA,1972,9,134451.52,46045.52,18813.82,69592.17,187587.86,281159,7209.9,7.6
CALIFORNIA,1973,9,135988.4,47064.46,19084.52,69839.43,193535.82,293735,7621.9,7
CALIFORNIA,1974,9,136827.29,47572.52,19092.78,70162,204096.43,298408,7834.3,7.7
CALIFORNIA,1975,9,138487.39,47699.42,19654.53,71133.44,213216.84,304518,7847.2,9.9
CALIFORNIA,1976,9,139514.18,47568.65,20346.64,71598.89,221958.93,320160,8154.2,9.2
CALIFORNIA,1977,9,139910.22,47137.99,21014.45,71757.78,226544.27,338040,8599.7,8.2
CALIFORNIA,1978,9,139408.84,46472.4,21556.85,71379.6,233936.43,359603,9199.8,7.1
CALIFORNIA,1979,9,140217.32,46132.47,22297.31,71787.54,243776.26,374928,9664.6,6.2
CALIFORNIA,1980,9,139776.97,45597.88,22925.93,71253.16,255305.95,380221,9848.8,6.8
CALIFORNIA,1981,9,139662.44,45042.91,23291.36,71328.17,286402.55,378436,9985.3,7.4
CALIFORNIA,1982,9,139232.39,44490.48,23502.43,71239.48,297844.03,372541,9810.3,9.9
CALIFORNIA,1983,9,138535.66,44027.17,23828.67,70679.82,305210.16,390528,9965.8,9.7
CALIFORNIA,1984,9,138101.55,43826.52,23841.32,70433.71,312008.57,420525,10574,7.8
CALIFORNIA,1985,9,138170.93,43566.26,24121.33,70483.33,324335.15,444082,10979,7.2
CALIFORNIA,1986,9,139042.68,43350.54,24592.33,71099.8,363779.7,464550,11258,6.7
CONNECTICUT,1970,1,15865.66,7237.14,2208.1,6420.42,24082.38,38880,1197.5,5.6
CONNECTICUT,1971,1,16559.99,7312.24,2406.84,6840.91,25147.44,38515,1164.3,8.9
CONNECTICUT,1972,1,17346.79,7407.46,2642.54,7296.8,26191.58,40037,1190.4,8.2
CONNECTICUT,1973,1,17803.12,7492.12,2741.16,7569.84,27301.99,42157,1238.7,5.7
CONNECTICUT,1974,1,18225.2,7550.75,2881,7793.45,28832.91,41827,1264,6.2
CONNECTICUT,1975,1,18686.78,7585.56,3027.33,8073.9,30306.1,39870,1223.4,9.1
CONNECTICUT,1976,1,18871.06,7587.34,3104.13,8179.59,27628.42,41326,1239.7,9.5
CONNECTICUT,1977,1,18798.54,7501.72,3166.91,8129.91,28268.33,42976,1282.3,7
CONNECTICUT,1978,1,18566.24,7352.08,3194.03,8020.13,29207.04,44844,1346.1,5.3
CONNECTICUT,1979,1,18487.06,7274.07,3294.94,7918.05,30449.45,46008,1398,5.1
CONNECTICUT,1980,1,18385.98,7192,3387.26,7806.72,31844.08,45949,1426.8,5.9
CONNECTICUT,1981,1,18271.34,7103.85,3396.82,7770.67,31895.65,47397,1438.7,6.2
CONNECTICUT,1982,1,18030.08,7017.05,3371.93,7641.11,32967.44,47241,1429.8,6.9
CONNECTICUT,1983,1,17739.88,6959.31,3332.92,7447.65,33668.53,50594,1446.5,6
CONNECTICUT,1984,1,17494.36,6890.73,3300.44,7303.19,34439.31,55117,1520.5,4.6
CONNECTICUT,1985,1,17317.13,6861.64,3313.05,7142.44,35816.37,58263,1562.3,4.9
CONNECTICUT,1986,1,17290.61,6878.14,3314.55,7097.92,40413.22,61750,1604.2,3.8
DELAWARE,1970,5,4250.95,2078.95,234.23,1937.77,6108.14,6863,216.8,4.8
DELAWARE,1971,5,4405.91,2076.73,230.51,2098.67,6361.22,7399,224.9,5.7
DELAWARE,1972,5,4560.71,2105.3,233.59,2221.82,6602.65,7829,232.4,4.7
DELAWARE,1973,5,4725.12,2125.88,283.84,2315.4,6892.09,8604,239.4,4.6
DELAWARE,1974,5,4927.52,2195.49,324.32,2407.71,7263.84,7777,233.1,6
DELAWARE,1975,5,4988.37,2197.46,349.68,2441.23,7624.03,7625,229.9,9.7
DELAWARE,1976,5,4959.87,2161.42,358.6,2439.86,7706.19,8061,236.7,8.9
DELAWARE,1977,5,4958.47,2158.95,400.11,2399.41,7845.75,8313,238.8,8.4
DELAWARE,1978,5,4954.21,2134.89,440.95,2378.38,8100.95,8390,247.8,7.5
DELAWARE,1979,5,4936.91,2103.91,482.11,2350.89,8435.96,8360,256.7,8
DELAWARE,1980,5,4868.74,2071.23,488.36,2309.14,8811.38,8200,259.2,7.7
DELAWARE,1981,5,4825.97,2050.14,491.43,2284.4,9049.52,8344,259.2,7.9
DELAWARE,1982,5,4786.37,2038.78,487.77,2259.82,9327.72,8435,259.2,8.5
DELAWARE,1983,5,4768.17,2029.77,482.47,2255.93,9486.76,8883,266.1,8.1
