"ly","ll","lk"
4.4655,3.2484,3.251
4.5361,2.7578,2.3173
3.9003,2.3435,2.2933
5.6077,3.576,3.8479
4.3353,2.7685,2.6061
7.0751,4.7666,4.6958
5.4675,3.6739,3.5591
3.6992,3.2326,2.8165
5.374,4.2861,3.8277
4.6367,2.7845,3.5124
3.901,2.8825,2.8324
5.0592,3.4306,3.1197
4.3811,2.8238,3.5419
4.1011,3.1281,2.6817
4.7184,2.6647,3.5313
4.8852,2.2623,2.2291
6.0549,3.7394,4.7031
4.5293,2.7196,3.3139
5.2733,3.2302,3.272
5.4841,3.1632,3.1304
4.6854,2.9469,2.3351
4.9224,3.6406,3.4187
4.6912,3.2396,3.3773
5.1008,2.6256,2.5112
4.8591,2.5305,3.1801
4.6809,2.8633,3.0594
3.7418,2.1274,2.8232
6.0274,4.0764,4.765
4.8038,3.3372,3.4934
4.7948,3.0196,4.1994
4.2719,3.3028,3.1396
3.993,2.2637,3.4284
4.9885,2.6033,3.2764
3.19,2.561,2.1816
4.5733,2.8872,2.7962
5.2475,2.7771,3.4121
3.0312,2.2521,1.6123
3.9176,1.9632,2.0765
5.1823,3.07,3.1024
4.3989,3.5061,3.064
3.7629,2.7154,2.5899
3.9673,3.0108,2.7634
4.1258,3.8309,3.0564
4.1567,3.3223,1.8804
5.2663,3.4662,3.5714
3.6806,2.5102,2.3246
5.2445,2.9463,3.7071
3.9962,3.2942,2.9836
4.721,1.9228,1.8771
5.6249,2.1957,3.0272
5.3069,2.9636,3.1484
3.7825,3.1365,2.8842
3.9654,2.6357,2.0154
3.7803,2.1944,2.0059
4.8515,3.2782,3.4257
4.6262,3.7641,3.5318
5.0265,3.3531,4.1617
5.5813,3.689,3.3374
5.7931,3.6964,4.0501
3.6856,2.2898,2.4258
3.6033,2.661,3.0151
4.9904,3.3158,3.3402
4.7998,2.9443,2.7539
3.5704,3.5023,3.0797
4.986,2.843,3.0815
4.7967,3.5865,3.6752
4.989,3.9251,3.616
5.5453,3.6942,3.8939
1.5045,0.9898,0.9455
5.3162,4.8271,3.3649
3.856,2.7017,2.0605
3.7416,2.6302,1.8892
3.6492,2.4742,3.0015
4.3486,2.0909,2.8314
5.316,3.3242,3.8631
3.4339,2.313,2.2028
3.5593,2.4195,2.3757
5.0982,3.1859,2.924
6.3051,3.8423,4.7525
5.7234,3.3588,3.7316
2.6638,1.955,1.3688
4.6865,2.619,2.701
3.5435,2.433,1.9048
4.3256,2.5471,2.9529
4.4794,2.9925,3.0361
3.5343,2.9147,2.579
5.0211,3.1923,2.698
3.5427,2.2082,3.1178
4.3709,2.7262,3.7813
4.582,2.3773,2.9196
4.882,2.284,2.8049
5.1735,3.5766,3.9453
4.0822,2.9713,2.0653
5.1532,3.1613,3.4933
5.4307,3.7915,4.5195
5.3487,4.0914,3.6936
4.454,3.1039,3.0077
4.4759,2.6598,3.2088
4.2053,2.7052,2.8618
4.6727,2.5269,3.2514
3.3969,2.7578,2.5176
4.6076,2.6639,2.7708
4.8499,3.0216,3.0294
5.8813,4.1022,3.834
4.9314,3.9085,3.5118
5.6101,2.2909,3.3177
3.6389,2.5068,2.2346
3.063,2.0103,1.7519
5.0542,4.0193,2.9469
5.6708,4.0431,4.1968
3.8013,2.5361,2.6902
4.8897,3.2625,3.9214
3.2095,1.7567,1.8012
4.7722,3.5729,3.7206
4.348,3.4824,3.3175
4.6209,3.0505,3.5264
5.2436,2.9172,3.2422
5.7342,4.067,4.1979
4.403,2.5107,3.1258
6.2421,3.4851,3.3542
4.3804,3.1454,3.3362
2.2963,1.675,1.7722
5.0268,3.2325,2.5213
4.3387,2.5807,2.76
4.6561,2.7271,3.2983
3.224,1.9808,2.1515
4.9619,3.0282,2.8822
4.4582,3.4633,3.5504
4.1427,3.4269,3.1459
3.8654,1.9766,2.3127
4.5663,1.9555,3.3518
4.05,3.2845,2.7392
3.7601,2.8697,2.7618
3.5768,2.9324,2.0606
4.9161,3.8794,3.3121
4.9448,3.8068,3.8332
3.5707,2.1986,2.1116
4.1891,2.5182,2.661
4.7406,3.0506,3.5704
4.7814,3.5202,3.2085
4.8935,3.9294,3.5075
6.0676,3.2558,3.843
5.6453,3.515,4.0114
4.818,2.7142,2.7073
5.5641,3.9994,3.3067
4.2427,2.852,3.2544
4.3646,3.1378,3.5798
4.6118,3.1133,3.0247
4.5784,2.9193,3.3749
4.8463,3.1679,3.7937
5.0231,2.732,2.3818
4.885,4.0971,2.7538
4.5262,2.9513,2.2415
5.2413,2.5966,2.6038
4.7628,2.4409,3.2225
4.8223,3.3735,3.5168
4.7705,2.6148,2.1848
4.46,3.4873,2.4275
3.5812,2.5274,2.1919
4.2156,3.1148,3.4028
3.4328,2.3219,2.4897
4.2451,2.8042,2.5846
4.6403,1.6352,3.4414
6.7418,4.351,3.6199
5.7195,3.9218,4.0855
3.9147,3.2842,3.505
6.0646,3.5924,3.9406
4.1366,2.8854,3.0981
3.7671,2.5739,1.86
4.3771,3.2329,3.0961
